school,class_id,student_no,kokugo_att_1,kokugo_att_2,kokugo_att_3,kokugo_att_4,kokugo_att_5,kokugo_att_6,kokugo_att_7,kokugo_att_8,kokugo_att_9,kokugo_att_10,kokugo_att_11,kokugo_att_12,shakai_att_1,shakai_att_2,shakai_att_3,shakai_att_4,shakai_att_5,shakai_att_6,shakai_att_7,shakai_att_8,shakai_att_9,shakai_att_10,shakai_att_11,shakai_att_12,sugaku_att_1,sugaku_att_2,sugaku_att_3,sugaku_att_4,sugaku_att_5,sugaku_att_6,sugaku_att_7,sugaku_att_8,sugaku_att_9,sugaku_att_10,sugaku_att_11,sugaku_att_12,rika_att_1,rika_att_2,rika_att_3,rika_att_4,rika_att_5,rika_att_6,rika_att_7,rika_att_8,rika_att_9,rika_att_10,rika_att_11,rika_att_12,eigo_att_1,eigo_att_2,eigo_att_3,eigo_att_4,eigo_att_5,eigo_att_6,eigo_att_7,eigo_att_8,eigo_att_9,eigo_att_10,eigo_att_11,eigo_att_12
C,2,6,3,2,4,4,4,2,3,4,2,4,4,3,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4,2,4,4,4,2,4,4,4,4,4,4,3,2,3,2,4,2,1,3,4,3,3,4,4.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
C,2,7,3,3,3,3,3,3,3,4,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3,3,2,2,0,3,3,4,3,3,3,3,2,1,3,3,3,1,3,3,3,3,3,2,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0
C,2,8,4,3,4,3,4,2,3,4,4,3,4,3,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4,3,3,3,4,2,3,4,4,4,4,4,4,4,4,3,2,4,4,2,3,3,4,3,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0
C,2,9,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,1,1,2,2,2,3,2,3,1,,,,,,,,,,,,
C,2,10,2,1,4,2,4,1,2,4,3,4,3,2,2.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2,3,2,3,1,3,1,4,2,3,2,2,3,3,3,3,2,3,2,3,4,3,3,3,2.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
C,2,11,3,3,3,3,3,3,3,3,3,3,3,3,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0
C,2,12,0,3,3,4,3,2,4,4,3,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0
C,2,13,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,3,2,3,1,3,3,4,2,3,3,3,3,4,3,4,3,3,4,4,4,4,4,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0
C,2,14,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
C,2,15,1,1,1,1,1,1,1,1,2,1,2,1,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4,4,4,3,3,3,4,4,3,3,3,4,4,2,2,3,3,2,2,3,4,3,2,3,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0
